zeta,speed_g0.2,comp_g0.2,speed_g0.4,comp_g0.4,speed_g0.6,comp_g0.6,speed_g0.8,comp_g0.8,speed_g1.0,comp_g1.0
1.334261171602e+00,1.008831260555e-01,1.425960674355e-01,1.808155865961e-01,2.707528591917e-01,2.521398329510e-01,3.999694466858e-01,3.207596908984e-01,5.390304661279e-01,3.892766045783e-01,6.930107940987e-01
1.356946172709e+00,9.948323204758e-02,1.434911217919e-01,1.780537279678e-01,2.729849720978e-01,2.480549614969e-01,4.042482148258e-01,3.154926425442e-01,5.465148315136e-01,3.830821429017e-01,7.053702666506e-01
1.380016862380e+00,9.809389530098e-02,1.443787416514e-01,1.753085937570e-01,2.751955179379e-01,2.439860506677e-01,4.084886802547e-01,3.102334788629e-01,5.539627600713e-01,3.768834533912e-01,7.177543889654e-01
1.403479798062e+00,9.671520006892e-02,1.452586934085e-01,1.725805382050e-01,2.773833896800e-01,2.399338644171e-01,4.126875944541e-01,3.049834112847e-01,5.613675648794e-01,3.706822388481e-01,7.301533948730e-01
1.427341648688e+00,9.534722829231e-02,1.461307451331e-01,1.698699130532e-01,2.795474777734e-01,2.358991687545e-01,4.168416553627e-01,2.997436640548e-01,5.687223566295e-01,3.644802332076e-01,7.425571033991e-01
1.451609196579e+00,9.399006076182e-02,1.469946686274e-01,1.671770681066e-01,2.816866726457e-01,2.318827326907e-01,4.209475123847e-01,2.945154746969e-01,5.760200474187e-01,3.582792006257e-01,7.549549179098e-01
1.476289339367e+00,9.264377565276e-02,1.478502375207e-01,1.645023500644e-01,2.837998644490e-01,2.278853266695e-01,4.250017673493e-01,2.893000925411e-01,5.832533515899e-01,3.520809342835e-01,7.673358257849e-01
1.501389091958e+00,9.130844922380e-02,1.486972286202e-01,1.618461026958e-01,2.858859450043e-01,2.239077225343e-01,4.290009783321e-01,2.840987782827e-01,5.904147890244e-01,3.458872555272e-01,7.796883999666e-01
1.526915588522e+00,8.998415581132e-02,1.495354222350e-01,1.592086666662e-01,2.879438092620e-01,2.199506930177e-01,4.329416629181e-01,2.789128031833e-01,5.974966883803e-01,3.397000125384e-01,7.920008007893e-01
1.552876084529e+00,8.867096763828e-02,1.503646021964e-01,1.565903795125e-01,2.899723571003e-01,2.160150115570e-01,4.368203023726e-01,2.737434484943e-01,6.044911914486e-01,3.335210791718e-01,8.042607794795e-01
1.579277958799e+00,8.736895458026e-02,1.511845557761e-01,1.539915747512e-01,2.919704935833e-01,2.121014510959e-01,4.406333440727e-01,2.685920043008e-01,6.113902569362e-01,3.273523536771e-01,8.164556828212e-01
1.606128715613e+00,8.607818438003e-02,1.519950743572e-01,1.514125823224e-01,2.939371316855e-01,2.082107843574e-01,4.443772071190e-01,2.634597690884e-01,6.181856665084e-01,3.211957571887e-01,8.285724587323e-01
1.633435986833e+00,8.479872242072e-02,1.527959533633e-01,1.488537277375e-01,2.958711926681e-01,2.043437827308e-01,4.480482854479e-01,2.583480485880e-01,6.248690299757e-01,3.150532323203e-01,8.405976636233e-01
1.661207534083e+00,8.353063186387e-02,1.535869928192e-01,1.463153325487e-01,2.977716090182e-01,2.005012161219e-01,4.516429531956e-01,2.532581549809e-01,6.314317920142e-01,3.089267416332e-01,8.525174710733e-01
1.689451250944e+00,8.227397328874e-02,1.543679970141e-01,1.437977132969e-01,2.996373244623e-01,1.966838518910e-01,4.551575683690e-01,2.481914058092e-01,6.378652389539e-01,3.028182658774e-01,8.643176815762e-01
1.718175165208e+00,8.102880511876e-02,1.551387755985e-01,1.413011819878e-01,3.014672970450e-01,1.928924552290e-01,4.585884800362e-01,2.431491234800e-01,6.441605078716e-01,2.967298023706e-01,8.759837343868e-01
1.747387441151e+00,7.979518307079e-02,1.558991428767e-01,1.388260452970e-01,3.032604996815e-01,1.891277875434e-01,4.619320313031e-01,2.381326336765e-01,6.503085937539e-01,2.906633631929e-01,8.875007206952e-01
1.777096381860e+00,7.857316049278e-02,1.566489187488e-01,1.363726047015e-01,3.050159226513e-01,1.853906064235e-01,4.651845661423e-01,2.331432647069e-01,6.563003598672e-01,2.846209732100e-01,8.988533981475e-01
