s,kernel_g0.2,kernel_g0.4,kernel_g0.6,kernel_g0.8,kernel_g0.95
2.344891485810e-01,1.147986473285e+00,1.199499670597e+00,1.076300569508e+00,6.950391883227e-01,2.037114937359e-01
2.361569282137e-01,1.146360418981e+00,1.196104037812e+00,1.071733498103e+00,6.911096211174e-01,2.023445395060e-01
2.378247078464e-01,1.144748086794e+00,1.192741812811e+00,1.067217742472e+00,6.872296908048e-01,2.009962811896e-01
2.394924874791e-01,1.143149265904e+00,1.189412436071e+00,1.062752372196e+00,6.833984288543e-01,1.996663346449e-01
2.411602671119e-01,1.141563750174e+00,1.186115361254e+00,1.058336480050e+00,6.796148922058e-01,1.983543262256e-01
2.428280467446e-01,1.139991338008e+00,1.182850054803e+00,1.053969181274e+00,6.758781624289e-01,1.970598924239e-01
2.444958263773e-01,1.138431832221e+00,1.179615995566e+00,1.049649612865e+00,6.721873449162e-01,1.957826795279e-01
2.461636060100e-01,1.136885039918e+00,1.176412674418e+00,1.045376932894e+00,6.685415681078e-01,1.945223432934e-01
2.478313856427e-01,1.135350772367e+00,1.173239593905e+00,1.041150319861e+00,6.649399827467e-01,1.932785486282e-01
2.494991652755e-01,1.133828844884e+00,1.170096267904e+00,1.036968972058e+00,6.613817611624e-01,1.920509692893e-01
2.511669449082e-01,1.132319076721e+00,1.166982221289e+00,1.032832106967e+00,6.578660965825e-01,1.908392875920e-01
2.528347245409e-01,1.130821290953e+00,1.163896989609e+00,1.028738960681e+00,6.543922024707e-01,1.896431941304e-01
2.545025041736e-01,1.129335314378e+00,1.160840118784e+00,1.024688787332e+00,6.509593118896e-01,1.884623875087e-01
2.561702838063e-01,1.127860977409e+00,1.157811164804e+00,1.020680858562e+00,6.475666768882e-01,1.872965740834e-01
2.578380634391e-01,1.126398113981e+00,1.154809693442e+00,1.016714462992e+00,6.442135679117e-01,1.861454677145e-01
2.595058430718e-01,1.124946561450e+00,1.151835279979e+00,1.012788905724e+00,6.408992732336e-01,1.850087895271e-01
2.611736227045e-01,1.123506160508e+00,1.148887508935e+00,1.008903507855e+00,6.376230984093e-01,1.838862676818e-01
2.628414023372e-01,1.122076755086e+00,1.145965973810e+00,1.005057606011e+00,6.343843657490e-01,1.827776371532e-01
2.645091819699e-01,1.120658192274e+00,1.143070276836e+00,1.001250551893e+00,6.311824138106e-01,1.816826395180e-01
2.661769616027e-01,1.119250322236e+00,1.140200028733e+00,9.974817118459e-01,6.280165969103e-01,1.806010227493e-01
2.678447412354e-01,1.117852998128e+00,1.137354848479e+00,9.937504664340e-01,6.248862846519e-01,1.795325410202e-01
2.695125208681e-01,1.116466076020e+00,1.134534363084e+00,9.900562100396e-01,6.217908614719e-01,1.784769545132e-01
2.711803005008e-01,1.115089414825e+00,1.131738207370e+00,9.863983504698e-01,6.187297262018e-01,1.774340292378e-01
2.728480801336e-01,1.113722876220e+00,1.128966023765e+00,9.827763085790e-01,6.157022916452e-01,1.764035368538e-01
2.745158597663e-01,1.112366324577e+00,1.126217462094e+00,9.791895179036e-01,6.127079841702e-01,1.753852545013e-01
2.761836393990e-01,1.111019626897e+00,1.123492179387e+00,9.756374243096e-01,6.097462433159e-01,1.743789646374e-01
