ft,spinup_g0.2_re,spinup_g0.2_im,spinup_g0.5_re,spinup_g0.5_im,spinup_g0.8_re,spinup_g0.8_im,spinup_g1.0_re,spinup_g1.0_im
1.213556617752e-03,3.400613911440e-01,9.105599048388e-02,1.034630247416e-01,5.969255976906e-02,4.376380448064e-02,3.669435357375e-02,2.780645748909e-02,2.778397011105e-02
1.224793582307e-03,3.405843253737e-01,9.119542719295e-02,1.037815519067e-01,5.987594409275e-02,4.394357402667e-02,3.684482503054e-02,2.793500273569e-02,2.791220230193e-02
1.236134595878e-03,3.411080651046e-01,9.133507235042e-02,1.041010612667e-01,6.005988908902e-02,4.412408319859e-02,3.699591210668e-02,2.806414319956e-02,2.804102535193e-02
1.247580621910e-03,3.416326115922e-01,9.147492621283e-02,1.044215558695e-01,6.024439643847e-02,4.430533505525e-02,3.714761730184e-02,2.819388165030e-02,2.817044196995e-02
1.259132632770e-03,3.421579660937e-01,9.161498903638e-02,1.047430387727e-01,6.042946782629e-02,4.448733266838e-02,3.729994312559e-02,2.832422087059e-02,2.830045487716e-02
1.270791609827e-03,3.426841298688e-01,9.175526107699e-02,1.050655130437e-01,6.061510494231e-02,4.467007912261e-02,3.745289209742e-02,2.845516365623e-02,2.843106680699e-02
1.282558543538e-03,3.432111041790e-01,9.189574259026e-02,1.053889817594e-01,6.080130948099e-02,4.485357751558e-02,3.760646674680e-02,2.858671281623e-02,2.856228050521e-02
1.294434433532e-03,3.437388902883e-01,9.203643383148e-02,1.057134480068e-01,6.098808314145e-02,4.503783095791e-02,3.776066961318e-02,2.871887117288e-02,2.869409872997e-02
1.306420288691e-03,3.442674894624e-01,9.217733505559e-02,1.060389148824e-01,6.117542762742e-02,4.522284257337e-02,3.791550324606e-02,2.885164156178e-02,2.882652425188e-02
1.318517127242e-03,3.447969029694e-01,9.231844651720e-02,1.063653854930e-01,6.136334464733e-02,4.540861549883e-02,3.807097020502e-02,2.898502683195e-02,2.895955985403e-02
1.330725976838e-03,3.453271320796e-01,9.245976847059e-02,1.066928629550e-01,6.155183591423e-02,4.559515288439e-02,3.822707305974e-02,2.911902984587e-02,2.909320833206e-02
1.343047874651e-03,3.458581780653e-01,9.260130116966e-02,1.070213503946e-01,6.174090314587e-02,4.578245789342e-02,3.838381439004e-02,2.925365347954e-02,2.922747249421e-02
1.355483867452e-03,3.463900422009e-01,9.274304486795e-02,1.073508509484e-01,6.193054806465e-02,4.597053370261e-02,3.854119678594e-02,2.938890062257e-02,2.936235516138e-02
1.368035011709e-03,3.469227257631e-01,9.288499981866e-02,1.076813677626e-01,6.212077239769e-02,4.615938350202e-02,3.869922284765e-02,2.952477417825e-02,2.949785916717e-02
1.380702373669e-03,3.474562300308e-01,9.302716627456e-02,1.080129039936e-01,6.231157787676e-02,4.634901049517e-02,3.885789518567e-02,2.966127706356e-02,2.963398735797e-02
1.393487029454e-03,3.479905562849e-01,9.316954448806e-02,1.083454628080e-01,6.250296623834e-02,4.653941789908e-02,3.901721642076e-02,2.979841220934e-02,2.977074259294e-02
1.406390065149e-03,3.485257058086e-01,9.331213471118e-02,1.086790473823e-01,6.269493922364e-02,4.673060894433e-02,3.917718918402e-02,2.993618256024e-02,2.990812774417e-02
1.419412576897e-03,3.490616798873e-01,9.345493719550e-02,1.090136609033e-01,6.288749857853e-02,4.692258687513e-02,3.933781611692e-02,3.007459107489e-02,3.004614569662e-02
1.432555670991e-03,3.495984798085e-01,9.359795219221e-02,1.093493065678e-01,6.308064605364e-02,4.711535494936e-02,3.949909987131e-02,3.021364072591e-02,3.018479934827e-02
1.445820463966e-03,3.501361068619e-01,9.374117995207e-02,1.096859875830e-01,6.327438340429e-02,4.730891643867e-02,3.966104310951e-02,3.035333450001e-02,3.032409161014e-02
