ft,spinup_g0.2_re,spinup_g0.2_im,spinup_g0.5_re,spinup_g0.5_im,spinup_g0.8_re,spinup_g0.8_im,spinup_g1.0_re,spinup_g1.0_im
2.859736029946e-03,3.923095647594e-01,1.049472712198e-01,1.377135767319e-01,7.937774992999e-02,6.408417583618e-02,5.367698758084e-02,4.270871177372e-02,4.262736553640e-02
2.886215843029e-03,3.929130716921e-01,1.051071235039e-01,1.381378521071e-01,7.962108288268e-02,6.434766806109e-02,5.389679690707e-02,4.290636516720e-02,4.282388647740e-02
2.912940846750e-03,3.935175106755e-01,1.052672054549e-01,1.385634394843e-01,7.986515325723e-02,6.461224774349e-02,5.411750147099e-02,4.310493679291e-02,4.302130988533e-02
2.939913311459e-03,3.941228831881e-01,1.054275172522e-01,1.389903429806e-01,8.010996318255e-02,6.487791942569e-02,5.433910485289e-02,4.330443096523e-02,4.321963985511e-02
2.967135528529e-03,3.947291907112e-01,1.055880590731e-01,1.394185667267e-01,8.035551479233e-02,6.514468766968e-02,5.456161064650e-02,4.350485201948e-02,4.341888049951e-02
2.994609810548e-03,3.953364347289e-01,1.057488310936e-01,1.398481148670e-01,8.060181022512e-02,6.541255705726e-02,5.478502245900e-02,4.370620431202e-02,4.361903594929e-02
3.022338491521e-03,3.959446167277e-01,1.059098334880e-01,1.402789915597e-01,8.084885162424e-02,6.568153219010e-02,5.500934391107e-02,4.390849222039e-02,4.382011035320e-02
3.050323927061e-03,3.965537381975e-01,1.060710664286e-01,1.407112009767e-01,8.109664113780e-02,6.595161768986e-02,5.523457863694e-02,4.411172014339e-02,4.402210787810e-02
3.078568494597e-03,3.971638006304e-01,1.062325300865e-01,1.411447473038e-01,8.134518091870e-02,6.622281819825e-02,5.546073028443e-02,4.431589250122e-02,4.422503270901e-02
3.107074593568e-03,3.977748055217e-01,1.063942246308e-01,1.415796347410e-01,8.159447312463e-02,6.649513837717e-02,5.568780251493e-02,4.452101373558e-02,4.442888904916e-02
3.135844645633e-03,3.983867543693e-01,1.065561502287e-01,1.420158675018e-01,8.184451991804e-02,6.676858290881e-02,5.591579900354e-02,4.472708830978e-02,4.463368112009e-02
3.164881094873e-03,3.989996486740e-01,1.067183070460e-01,1.424534498142e-01,8.209532346613e-02,6.704315649569e-02,5.614472343902e-02,4.493412070887e-02,4.483941316171e-02
3.194186408002e-03,3.996134899396e-01,1.068806952465e-01,1.428923859199e-01,8.234688594086e-02,6.731886386083e-02,5.637457952385e-02,4.514211543973e-02,4.504608943235e-02
3.223763074572e-03,4.002282796724e-01,1.070433149921e-01,1.433326800750e-01,8.259920951893e-02,6.759570974779e-02,5.660537097430e-02,4.535107703123e-02,4.525371420886e-02
