gamma,theta,theta_inf
5.726315789474e-01,-3.277108433735e+01,-1.227710843373e+02
5.750877192982e-01,-3.286032523947e+01,-1.228603252395e+02
5.775438596491e-01,-3.294928825623e+01,-1.229492882562e+02
5.800000000000e-01,-3.303797468354e+01,-1.230379746835e+02
5.824561403509e-01,-3.312638580931e+01,-1.231263858093e+02
5.849122807018e-01,-3.321452291344e+01,-1.232145229134e+02
5.873684210526e-01,-3.330238726790e+01,-1.233023872679e+02
5.898245614035e-01,-3.338998013684e+01,-1.233899801368e+02
5.922807017544e-01,-3.347730277655e+01,-1.234773027766e+02
5.947368421053e-01,-3.356435643564e+01,-1.235643564356e+02
5.971929824561e-01,-3.365114235501e+01,-1.236511423550e+02
5.996491228070e-01,-3.373766176793e+01,-1.237376617679e+02
6.021052631579e-01,-3.382391590013e+01,-1.238239159001e+02
6.045614035088e-01,-3.390990596982e+01,-1.239099059698e+02
6.070175438596e-01,-3.399563318777e+01,-1.239956331878e+02
6.094736842105e-01,-3.408109875736e+01,-1.240810987574e+02
6.119298245614e-01,-3.416630387462e+01,-1.241663038746e+02
6.143859649123e-01,-3.425124972832e+01,-1.242512497283e+02
6.168421052632e-01,-3.433593750000e+01,-1.243359375000e+02
6.192982456140e-01,-3.442036836403e+01,-1.244203683640e+02
6.217543859649e-01,-3.450454348767e+01,-1.245045434877e+02
6.242105263158e-01,-3.458846403111e+01,-1.245884640311e+02
6.266666666667e-01,-3.467213114754e+01,-1.246721311475e+02
6.291228070175e-01,-3.475554598320e+01,-1.247555459832e+02
6.315789473684e-01,-3.483870967742e+01,-1.248387096774e+02
6.340350877193e-01,-3.492162336268e+01,-1.249216233627e+02
6.364912280702e-01,-3.500428816467e+01,-1.250042881647e+02
6.389473684211e-01,-3.508670520231e+01,-1.250867052023e+02
6.414035087719e-01,-3.516887558786e+01,-1.251688755879e+02
6.438596491228e-01,-3.525080042689e+01,-1.252508004269e+02
6.463157894737e-01,-3.533248081841e+01,-1.253324808184e+02
6.487719298246e-01,-3.541391785486e+01,-1.254139178549e+02
6.512280701754e-01,-3.549511262218e+01,-1.254951126222e+02
6.536842105263e-01,-3.557606619987e+01,-1.255760661999e+02
6.561403508772e-01,-3.565677966102e+01,-1.256567796610e+02
6.585964912281e-01,-3.573725407235e+01,-1.257372540724e+02
6.610526315789e-01,-3.581749049430e+01,-1.258174904943e+02
6.635087719298e-01,-3.589748998102e+01,-1.258974899810e+02
6.659649122807e-01,-3.597725358045e+01,-1.259772535805e+02
6.684210526316e-01,-3.605678233438e+01,-1.260567823344e+02
6.708771929825e-01,-3.613607727845e+01,-1.261360772785e+02
6.733333333333e-01,-3.621513944223e+01,-1.262151394422e+02
6.757894736842e-01,-3.629396984925e+01,-1.262939698492e+02
6.782456140351e-01,-3.637256951704e+01,-1.263725695170e+02
6.807017543860e-01,-3.645093945720e+01,-1.264509394572e+02
6.831578947368e-01,-3.652908067542e+01,-1.265290806754e+02
6.856140350877e-01,-3.660699417152e+01,-1.266069941715e+02
6.880701754386e-01,-3.668468093951e+01,-1.266846809395e+02
6.905263157895e-01,-3.676214196762e+01,-1.267621419676e+02
6.929824561404e-01,-3.683937823834e+01,-1.268393782383e+02
6.954385964912e-01,-3.691639072848e+01,-1.269163907285e+02
6.978947368421e-01,-3.699318040918e+01,-1.269931804092e+02
7.003508771930e-01,-3.706974824598e+01,-1.270697482460e+02
7.028070175439e-01,-3.714609519885e+01,-1.271460951988e+02
7.052631578947e-01,-3.722222222222e+01,-1.272222222222e+02
7.077192982456e-01,-3.729813026505e+01,-1.272981302651e+02
7.101754385965e-01,-3.737382027082e+01,-1.273738202708e+02
7.126315789474e-01,-3.744929317763e+01,-1.274492931776e+02
7.150877192982e-01,-3.752454991817e+01,-1.275245499182e+02
7.175438596491e-01,-3.759959141982e+01,-1.275995914198e+02
7.200000000000e-01,-3.767441860465e+01,-1.276744186047e+02
7.224561403509e-01,-3.774903238949e+01,-1.277490323895e+02
7.249122807018e-01,-3.782343368592e+01,-1.278234336859e+02
7.273684210526e-01,-3.789762340037e+01,-1.278976234004e+02
7.298245614035e-01,-3.797160243408e+01,-1.279716024341e+02
7.322807017544e-01,-3.804537168321e+01,-1.280453716832e+02
7.347368421053e-01,-3.811893203883e+01,-1.281189320388e+02
7.371929824561e-01,-3.819228438699e+01,-1.281922843870e+02
7.396491228070e-01,-3.826542960871e+01,-1.282654296087e+02
7.421052631579e-01,-3.833836858006e+01,-1.283383685801e+02
7.445614035088e-01,-3.841110217216e+01,-1.284111021722e+02
7.470175438596e-01,-3.848363125126e+01,-1.284836312513e+02
7.494736842105e-01,-3.855595667870e+01,-1.285559566787e+02
7.519298245614e-01,-3.862807931104e+01,-1.286280793110e+02
7.543859649123e-01,-3.870000000000e+01,-1.287000000000e+02
7.568421052632e-01,-3.877171959257e+01,-1.287717195926e+02
7.592982456140e-01,-3.884323893099e+01,-1.288432389310e+02
7.617543859649e-01,-3.891455885282e+01,-1.289145588528e+02
7.642105263158e-01,-3.898568019093e+01,-1.289856801909e+02
7.666666666667e-01,-3.905660377358e+01,-1.290566037736e+02
7.691228070175e-01,-3.912733042443e+01,-1.291273304244e+02
7.715789473684e-01,-3.919786096257e+01,-1.291978609626e+02
7.740350877193e-01,-3.926819620253e+01,-1.292681962025e+02
7.764912280702e-01,-3.933833695437e+01,-1.293383369544e+02
7.789473684211e-01,-3.940828402367e+01,-1.294082840237e+02
7.814035087719e-01,-3.947803821154e+01,-1.294780382115e+02
7.838596491228e-01,-3.954760031471e+01,-1.295476003147e+02
7.863157894737e-01,-3.961697112552e+01,-1.296169711255e+02
7.887719298246e-01,-3.968615143193e+01,-1.296861514319e+02
7.912280701754e-01,-3.975514201763e+01,-1.297551420176e+02
7.936842105263e-01,-3.982394366197e+01,-1.298239436620e+02
7.961403508772e-01,-3.989255714007e+01,-1.298925571401e+02
7.985964912281e-01,-3.996098322279e+01,-1.299609832228e+02
8.010526315789e-01,-4.002922267680e+01,-1.300292226768e+02
8.035087719298e-01,-4.009727626459e+01,-1.300972762646e+02
8.059649122807e-01,-4.016514474451e+01,-1.301651447445e+02
8.084210526316e-01,-4.023282887078e+01,-1.302328288708e+02
8.108771929825e-01,-4.030032939353e+01,-1.303003293935e+02
8.133333333333e-01,-4.036764705882e+01,-1.303676470588e+02
8.157894736842e-01,-4.043478260870e+01,-1.304347826087e+02
8.182456140351e-01,-4.050173678117e+01,-1.305017367812e+02
8.207017543860e-01,-4.056851031027e+01,-1.305685103103e+02
8.231578947368e-01,-4.063510392610e+01,-1.306351039261e+02
8.256140350877e-01,-4.070151835480e+01,-1.307015183548e+02
8.280701754386e-01,-4.076775431862e+01,-1.307677543186e+02
8.305263157895e-01,-4.083381253594e+01,-1.308338125359e+02
8.329824561404e-01,-4.089969372129e+01,-1.308996937213e+02
8.354385964912e-01,-4.096539858536e+01,-1.309653985854e+02
8.378947368421e-01,-4.103092783505e+01,-1.310309278351e+02
8.403508771930e-01,-4.109628217350e+01,-1.310962821735e+02
8.428070175439e-01,-4.116146230008e+01,-1.311614623001e+02
8.452631578947e-01,-4.122646891044e+01,-1.312264689104e+02
8.477192982456e-01,-4.129130269654e+01,-1.312913026965e+02
8.501754385965e-01,-4.135596434667e+01,-1.313559643467e+02
8.526315789474e-01,-4.142045454545e+01,-1.314204545455e+02
8.550877192982e-01,-4.148477397390e+01,-1.314847739739e+02
8.575438596491e-01,-4.154892330941e+01,-1.315489233094e+02
8.600000000000e-01,-4.161290322581e+01,-1.316129032258e+02
8.624561403509e-01,-4.167671439337e+01,-1.316767143934e+02
8.649122807018e-01,-4.174035747883e+01,-1.317403574788e+02
8.673684210526e-01,-4.180383314543e+01,-1.318038331454e+02
8.698245614035e-01,-4.186714205292e+01,-1.318671420529e+02
8.722807017544e-01,-4.193028485757e+01,-1.319302848576e+02
8.747368421053e-01,-4.199326221224e+01,-1.319932622122e+02
8.771929824561e-01,-4.205607476636e+01,-1.320560747664e+02
8.796491228070e-01,-4.211872316595e+01,-1.321187231660e+02
8.821052631579e-01,-4.218120805369e+01,-1.321812080537e+02
8.845614035088e-01,-4.224353006889e+01,-1.322435300689e+02
8.870175438596e-01,-4.230568984753e+01,-1.323056898475e+02
8.894736842105e-01,-4.236768802228e+01,-1.323676880223e+02
