g0.25_x,g0.25_y,g0.5_x,g0.5_y,g0.75_x,g0.75_y,g1.0_x,g1.0_y,zeta
8.814489852161e-01,-3.448729665128e-01,8.537839474746e-01,-5.070624811003e-01,7.798097005013e-01,-6.245975776964e-01,7.068014637973e-01,-7.072593780931e-01,4.579637352173e-04
8.813564691428e-01,-3.449223247571e-01,8.537536777364e-01,-5.070799198127e-01,7.798022857365e-01,-6.246016356845e-01,7.067999723980e-01,-7.072601231877e-01,4.602007132355e-04
8.812638191788e-01,-3.449717578561e-01,8.537233321711e-01,-5.070974020295e-01,7.797948437355e-01,-6.246057085414e-01,7.067984737134e-01,-7.072608719190e-01,4.624486180373e-04
8.811710350999e-01,-3.450212659385e-01,8.536929105839e-01,-5.071149278609e-01,7.797873743982e-01,-6.246097963218e-01,7.067969677079e-01,-7.072616243047e-01,4.647075029960e-04
8.810781166817e-01,-3.450708491336e-01,8.536624127798e-01,-5.071324974177e-01,7.797798776236e-01,-6.246138990803e-01,7.067954543458e-01,-7.072623803628e-01,4.669774217453e-04
8.809850636991e-01,-3.451205075706e-01,8.536318385632e-01,-5.071501108108e-01,7.797723533108e-01,-6.246180168717e-01,7.067939335910e-01,-7.072631401110e-01,4.692584281812e-04
8.808918759266e-01,-3.451702413793e-01,8.536011877377e-01,-5.071677681513e-01,7.797648013583e-01,-6.246221497512e-01,7.067924054076e-01,-7.072639035675e-01,4.715505764628e-04
8.807985531384e-01,-3.452200506894e-01,8.535704601067e-01,-5.071854695509e-01,7.797572216642e-01,-6.246262977741e-01,7.067908697591e-01,-7.072646707502e-01,4.738539210136e-04
8.807050951080e-01,-3.452699356311e-01,8.535396554729e-01,-5.072032151213e-01,7.797496141264e-01,-6.246304609958e-01,7.067893266091e-01,-7.072654416774e-01,4.761685165233e-04
8.806115016086e-01,-3.453198963347e-01,8.535087736386e-01,-5.072210049746e-01,7.797419786422e-01,-6.246346394721e-01,7.067877759211e-01,-7.072662163673e-01,4.784944179485e-04
8.805177724129e-01,-3.453699329308e-01,8.534778144054e-01,-5.072388392232e-01,7.797343151087e-01,-6.246388332588e-01,7.067862176581e-01,-7.072669948382e-01,4.808316805142e-04
8.804239072931e-01,-3.454200455504e-01,8.534467775745e-01,-5.072567179798e-01,7.797266234224e-01,-6.246430424121e-01,7.067846517831e-01,-7.072677771087e-01,4.831803597153e-04
8.803299060209e-01,-3.454702343244e-01,8.534156629465e-01,-5.072746413573e-01,7.797189034798e-01,-6.246472669882e-01,7.067830782590e-01,-7.072685631972e-01,4.855405113177e-04
