zeta,turn_g0.2,turn_g0.5,turn_g0.7,turn_g0.9,turn_g0.95,turn_g1.0
1.784876993400e-04,-4.619053941621e-01,-1.110697013750e-01,-3.021545633232e-02,-6.938460683331e-03,-4.711970723159e-03,-3.179869035004e-03
1.808533933772e-04,-4.733135214975e-01,-1.139962837060e-01,-3.105518430472e-02,-7.142038810855e-03,-4.852099275060e-03,-3.275713317334e-03
1.832504425626e-04,-4.847650384089e-01,-1.169426837787e-01,-3.190271595333e-02,-7.348044552138e-03,-4.993991872794e-03,-3.372827929489e-03
1.856792624806e-04,-4.962601492827e-01,-1.199090388827e-01,-3.275812404316e-02,-7.556506864324e-03,-5.137670725893e-03,-3.471229708536e-03
1.881402742236e-04,-5.077990596951e-01,-1.228954872975e-01,-3.362148202205e-02,-7.767455050151e-03,-5.283158323577e-03,-3.570935714729e-03
1.906339044655e-04,-5.193819764201e-01,-1.259021683005e-01,-3.449286402714e-02,-7.980918762062e-03,-5.430477438274e-03,-3.671963234426e-03
1.931605855351e-04,-5.310091074379e-01,-1.289292221746e-01,-3.537234489137e-02,-8.196928006447e-03,-5.579651129152e-03,-3.774329783095e-03
1.957207554913e-04,-5.426806619430e-01,-1.319767902158e-01,-3.626000015011e-02,-8.415513147790e-03,-5.730702745794e-03,-3.878053108371e-03
1.983148581993e-04,-5.543968503525e-01,-1.350450147415e-01,-3.715590604788e-02,-8.636704913007e-03,-5.883655931783e-03,-3.983151193085e-03
2.009433434073e-04,-5.661578843147e-01,-1.381340390978e-01,-3.806013954500e-02,-8.860534395743e-03,-6.038534628464e-03,-4.089642258463e-03
2.036066668243e-04,-5.779639767170e-01,-1.412440076676e-01,-3.897277832442e-02,-9.087033060774e-03,-6.195363078686e-03,-4.197544767205e-03
2.063052901995e-04,-5.898153416951e-01,-1.443750658788e-01,-3.989390079866e-02,-9.316232748423e-03,-6.354165830569e-03,-4.306877426723e-03
2.090396814022e-04,-6.017121946410e-01,-1.475273602124e-01,-4.082358611666e-02,-9.548165679081e-03,-6.514967741368e-03,-4.417659192372e-03
2.118103145026e-04,-6.136547522119e-01,-1.507010382104e-01,-4.176191417078e-02,-9.782864457698e-03,-6.677793981383e-03,-4.529909270758e-03
2.146176698547e-04,-6.256432323388e-01,-1.538962484841e-01,-4.270896560396e-02,-1.002036207842e-02,-6.842670037887e-03,-4.643647123047e-03
2.174622341788e-04,-6.376778542353e-01,-1.571131407226e-01,-4.366482181674e-02,-1.026069192922e-02,-7.009621719128e-03,-4.758892468354e-03
2.203445006465e-04,-6.497588384061e-01,-1.603518657007e-01,-4.462956497457e-02,-1.050388779662e-02,-7.178675158331e-03,-4.875665287127e-03
2.232649689657e-04,-6.618864066567e-01,-1.636125752879e-01,-4.560327801502e-02,-1.074998387043e-02,-7.349856817876e-03,-4.993985824664e-03
2.262241454677e-04,-6.740607821012e-01,-1.668954224566e-01,-4.658604465514e-02,-1.099901474859e-02,-7.523193493358e-03,-5.113874594583e-03
2.292225431947e-04,-6.862821891725e-01,-1.702005612904e-01,-4.757794939893e-02,-1.125101544202e-02,-7.698712317847e-03,-5.235352382406e-03
2.322606819887e-04,-6.985508536304e-01,-1.735281469935e-01,-4.857907754478e-02,-1.150602137960e-02,-7.876440766106e-03,-5.358440249119e-03
2.353390885818e-04,-7.108670025713e-01,-1.768783358986e-01,-4.958951519303e-02,-1.176406841313e-02,-8.056406658906e-03,-5.483159534875e-03
2.384582966876e-04,-7.232308644373e-01,-1.802512854762e-01,-5.060934925366e-02,-1.202519282237e-02,-8.238638167398e-03,-5.609531862681e-03
2.416188470934e-04,-7.356426690255e-01,-1.836471543433e-01,-5.163866745397e-02,-1.228943132021e-02,-8.423163817495e-03,-5.737579142101e-03
2.448212877542e-04,-7.481026474973e-01,-1.870661022724e-01,-5.267755834634e-02,-1.255682105780e-02,-8.610012494376e-03,-5.867323573138e-03
2.480661738878e-04,-7.606110323879e-01,-1.905082902004e-01,-5.372611131619e-02,-1.282739962981e-02,-8.799213446983e-03,-5.998787649999e-03
2.513540680707e-04,-7.731680576157e-01,-1.939738802379e-01,-5.478441658979e-02,-1.310120507972e-02,-8.990796292653e-03,-6.131994165034e-03
2.546855403360e-04,-7.857739584920e-01,-1.974630356782e-01,-5.585256524241e-02,-1.337827590518e-02,-9.184791021688e-03,-6.266966212710e-03
2.580611682719e-04,-7.984289717306e-01,-2.009759210067e-01,-5.693064920630e-02,-1.365865106347e-02,-9.381228002128e-03,-6.403727193575e-03
2.614815371223e-04,-8.111333354574e-01,-2.045127019101e-01,-5.801876127896e-02,-1.394236997696e-02,-9.580137984439e-03,-6.542300818321e-03
2.649472398877e-04,-8.238872892203e-01,-2.080735452859e-01,-5.911699513134e-02,-1.422947253868e-02,-9.781552106398e-03,-6.682711111917e-03
2.684588774284e-04,-8.366910739993e-01,-2.116586192518e-01,-6.022544531620e-02,-1.451999911796e-02,-9.985501897925e-03,-6.824982417762e-03
2.720170585686e-04,-8.495449322158e-01,-2.152680931555e-01,-6.134420727653e-02,-1.481399056611e-02,-1.019201928606e-02,-6.969139401898e-03
2.756224002019e-04,-8.624491077433e-01,-2.189021375841e-01,-6.247337735403e-02,-1.511148822216e-02,-1.040113659992e-02,-7.115207057301e-03
2.792755273981e-04,-8.754038459169e-01,-2.225609243739e-01,-6.361305279772e-02,-1.541253391876e-02,-1.061288657583e-02,-7.263210708189e-03
